file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
1NpCaBGo8cfX8,-H1ScUvnwbxbGCgNW1__RESPARK_20200429_IMG0188.JPG,1NpCaBGo8cfX8__-H1ScUvnwbxbGCgNW1__RESPARK_20200429_IMG0188.JPG,data/staging/1NpCaBGo8cfX8__-H1ScUvnwbxbGCgNW1__RESPARK_20200429_IMG0188.JPG,600743,2026-02-02T13:08:33.337620,2020:05:15 21:41:23,2688,1504,,,,
1UoBC6gd8Z94bmtArGsCjgssHTTNBa,H__RESPARK_20200429_IMG0064.JPG,1UoBC6gd8Z94bmtArGsCjgssHTTNBa__H__RESPARK_20200429_IMG0064.JPG,data/staging/1UoBC6gd8Z94bmtArGsCjgssHTTNBa__H__RESPARK_20200429_IMG0064.JPG,560266,2026-02-02T13:06:28.644433,2020:05:04 23:03:20,2688,1504,,,,
1MrUpwjWHpQbL5KSro3xk6zc8IzQEXC0v,RESPARK_20200429_IMG0001.JPG,1MrUpwjWHpQbL5KSro3xk6zc8IzQEXC0v__RESPARK_20200429_IMG0001.JPG,data/staging/1MrUpwjWHpQbL5KSro3xk6zc8IzQEXC0v__RESPARK_20200429_IMG0001.JPG,1671933,2026-02-02T13:05:10.965274,2020:05:01 11:55:28,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T18:55:28.000Z,1671933,image/jpeg
1n_wn9ozKmnQw6Jqd61YCNP6qoGYgkb4y,RESPARK_20200429_IMG0002.JPG,1n_wn9ozKmnQw6Jqd61YCNP6qoGYgkb4y__RESPARK_20200429_IMG0002.JPG,data/staging/1n_wn9ozKmnQw6Jqd61YCNP6qoGYgkb4y__RESPARK_20200429_IMG0002.JPG,1669215,2026-02-02T13:05:12.196440,2020:05:01 11:55:31,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T18:55:30.000Z,1669215,image/jpeg
1Pb6AT9PKKS3fX0q_h9xSqkkKbke-X1j7,RESPARK_20200429_IMG0003.JPG,1Pb6AT9PKKS3fX0q_h9xSqkkKbke-X1j7__RESPARK_20200429_IMG0003.JPG,data/staging/1Pb6AT9PKKS3fX0q_h9xSqkkKbke-X1j7__RESPARK_20200429_IMG0003.JPG,1668332,2026-02-02T13:05:13.152273,2020:05:01 11:55:33,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T18:55:32.000Z,1668332,image/jpeg
19OlhWR3W8aVlctbQGfWJwVc60BzfxGAj,RESPARK_20200429_IMG0004.JPG,19OlhWR3W8aVlctbQGfWJwVc60BzfxGAj__RESPARK_20200429_IMG0004.JPG,data/staging/19OlhWR3W8aVlctbQGfWJwVc60BzfxGAj__RESPARK_20200429_IMG0004.JPG,1689711,2026-02-02T13:05:14.349201,2020:05:01 12:14:32,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T19:14:32.000Z,1689711,image/jpeg
1_Nait2zbTaq0g2Np-2X_yPplY8PE9ke5,RESPARK_20200429_IMG0005.JPG,1_Nait2zbTaq0g2Np-2X_yPplY8PE9ke5__RESPARK_20200429_IMG0005.JPG,data/staging/1_Nait2zbTaq0g2Np-2X_yPplY8PE9ke5__RESPARK_20200429_IMG0005.JPG,1687847,2026-02-02T13:05:15.453534,2020:05:01 12:14:34,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T19:14:34.000Z,1687847,image/jpeg
1HZU29EAq6FfVcuITay7WNmfQ8hBoThAs,RESPARK_20200429_IMG0006.JPG,1HZU29EAq6FfVcuITay7WNmfQ8hBoThAs__RESPARK_20200429_IMG0006.JPG,data/staging/1HZU29EAq6FfVcuITay7WNmfQ8hBoThAs__RESPARK_20200429_IMG0006.JPG,1688411,2026-02-02T13:05:17.346360,2020:05:01 12:14:37,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T19:14:36.000Z,1688411,image/jpeg
1iQd7m7-VRlnsFnnNp0D-uzOaLSmuGDV6,RESPARK_20200429_IMG0007.JPG,1iQd7m7-VRlnsFnnNp0D-uzOaLSmuGDV6__RESPARK_20200429_IMG0007.JPG,data/staging/1iQd7m7-VRlnsFnnNp0D-uzOaLSmuGDV6__RESPARK_20200429_IMG0007.JPG,1702065,2026-02-02T13:05:18.414064,2020:05:01 12:32:44,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T19:32:44.000Z,1702065,image/jpeg
1JioGpKc1hJCZSFD_LGiXGYQzEZQXD69C,RESPARK_20200429_IMG0008.JPG,1JioGpKc1hJCZSFD_LGiXGYQzEZQXD69C__RESPARK_20200429_IMG0008.JPG,data/staging/1JioGpKc1hJCZSFD_LGiXGYQzEZQXD69C__RESPARK_20200429_IMG0008.JPG,1701185,2026-02-02T13:05:19.847789,2020:05:01 12:32:47,2688,1504,1Io00BAbgeQqOGWJBUQ9BUocc9gNDGT8M,2020-05-01T19:32:46.000Z,1701185,image/jpeg
